Name,Specialization,ID,school,year,Generation,advisor_id
(Charles) Raymond  Perrault,artificial-intelligence-and-machine-learning,8755,University of Michigan,1975,4,44546;8658;
Willard Van Orman Quine,artificial-intelligence-and-machine-learning,73831,Harvard University,1932,4,78732
Alonzo  Church,artificial-intelligence-and-machine-learning,8011,Princeton University,1927,4,805
Marvin Lee Minsky,artificial-intelligence-and-machine-learning,6869,Princeton University,1954,4,8581
Sheldon Shou-Lien Chang,artificial-intelligence-and-machine-learning,98916,Purdue University,1947,4,111345
Robert Leroy Platzman,artificial-intelligence-and-machine-learning,128356,The University of Chicago,1942,4,126428
Nikolai Nikolayevich Luzin,artificial-intelligence-and-machine-learning,10479,Lomonosov Moscow State University,1915,4,24109
Dimitri Fedorowitsch Egorov,artificial-intelligence-and-machine-learning,24109,Lomonosov Moscow State University,1901,4,24101
Max Wilhelm Dehn,artificial-intelligence-and-machine-learning,7339,Georg-August-Universität Göttingen,1899,4,7298
Richard  Courant,artificial-intelligence-and-machine-learning,7378,Georg-August-Universität Göttingen,1910,4,7298
Anthony Gervin Oettinger,artificial-intelligence-and-machine-learning,13305,Harvard University,1954,4,18953
Norman Ross Scott,artificial-intelligence-and-machine-learning,84481,University of Illinois at Urbana-Champaign,1950,4,140183
Noël  Gastinel,artificial-intelligence-and-machine-learning,58747,Université Joseph Fourier Grenoble I,1960,4,78519
Robert W Floyd,artificial-intelligence-and-machine-learning,69223,The University of Chicago,1953,4,None
Richard Manning Karp,artificial-intelligence-and-machine-learning,25275,Harvard University,1959,4,13305
Richard  Courant,artificial-intelligence-and-machine-learning,7378,Georg-August-Universität Göttingen,1910,5,7298
David  Hilbert,artificial-intelligence-and-machine-learning,7298,Universität Königsberg,1885,5,7404
Emory Leon Chaffee,artificial-intelligence-and-machine-learning,25248,Harvard University,1911,5,141987
Paul  Dienes,artificial-intelligence-and-machine-learning,24557,Eötvös Loránd University and Université Paris IV-Sorbonne,1907,5,39071
William Chesley Rounds,artificial-intelligence-and-machine-learning,44546,Stanford University,1968,5,8024
Joyce Barbara Friedman,artificial-intelligence-and-machine-learning,8658,Harvard University,1965,5,29869
Alfred North Whitehead,artificial-intelligence-and-machine-learning,78732,University of Cambridge,1884,5,101929
Oswald  Veblen,artificial-intelligence-and-machine-learning,805,The University of Chicago,1903,5,806
Albert William Tucker,artificial-intelligence-and-machine-learning,8581,Princeton University,1932,5,7461
Robert Peer Siskind,artificial-intelligence-and-machine-learning,111345,Harvard University,1925,5,None
James  Franck,artificial-intelligence-and-machine-learning,126428,Humboldt-Universität zu Berlin,1906,5,62397;124661;
Dimitri Fedorowitsch Egorov,artificial-intelligence-and-machine-learning,24109,Lomonosov Moscow State University,1901,5,24101
Nicolai Vasilievich Bugaev,artificial-intelligence-and-machine-learning,24101,Lomonosov Moscow State University,1866,5,18331;55185;7486;
David  Hilbert,artificial-intelligence-and-machine-learning,7298,Universität Königsberg,1885,5,7404
David  Hilbert,artificial-intelligence-and-machine-learning,7298,Universität Königsberg,1885,5,7404
Howard Hathaway Aiken,artificial-intelligence-and-machine-learning,18953,Harvard University,1939,5,25248
Lloyd Thomas Devore,artificial-intelligence-and-machine-learning,140183,The Pennsylvania State University,1933,5,147676;147677;
Jean  Kuntzmann,artificial-intelligence-and-machine-learning,78519,Université de Paris,1940,5,73816
Anthony Gervin Oettinger,artificial-intelligence-and-machine-learning,13305,Harvard University,1954,5,18953
David  Hilbert,artificial-intelligence-and-machine-learning,7298,Universität Königsberg,1885,6,7404
C. L. Ferdinand (Carl Louis) Lindemann,artificial-intelligence-and-machine-learning,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,6,7401
George Washington Pierce,artificial-intelligence-and-machine-learning,141987,Harvard University,1900,6,67041
Émile  Borel,artificial-intelligence-and-machine-learning,39071,École Normale Supérieure Paris,1893,6,34254
Dana Stewart Scott,artificial-intelligence-and-machine-learning,8024,Princeton University,1958,6,8011
Hao  Wang,artificial-intelligence-and-machine-learning,29869,Harvard University,1948,6,73831
Edward John Routh,artificial-intelligence-and-machine-learning,101929,University of Cambridge,1857,6,42016;129420;
E. H. (Eliakim Hastings) Moore,artificial-intelligence-and-machine-learning,806,Yale University,1885,6,7865
