Name,Specialization,ID,school,year,Generation,advisor_id
Joseph John Thomson,software-engineering,50701,University of Cambridge,1883,7,101979
John William Strutt (Lord Rayleigh),software-engineering,101979,University of Cambridge,1868,7,101929;102483;
C. Felix (Christian) Klein,software-engineering,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
Thomas  Jones,software-engineering,102036,University of Cambridge,1782,7,133301;103066;
John  Dawson,software-engineering,102037,,,7,129421;129422;
Adolf  Dyroff,software-engineering,51360,Bayerische Julius-Maximilians-Universität Würzburg,1892,7,None
Heinrich Gustav Magnus,software-engineering,123978,Universität Berlin,1827,7,123999
August Adolph Eduard Eberhard Kundt,software-engineering,123973,Universität Berlin,1864,7,123978
Woldemar  Voigt,software-engineering,45011,Universität Königsberg,1874,7,18600
Emil Gabriel Warburg,software-engineering,124661,Universität Berlin,1867,7,123978;123973;
Paul Karl Ludwig Drude,software-engineering,62397,Georg-August-Universität Göttingen,1887,7,45011
Robert Hjalmar Mellin,software-engineering,143865,Helsingin yliopisto,1882,7,19770
Gösta Magnus Mittag-Leffler,software-engineering,19770,Uppsala Universitet,1872,7,24894
E. H. (Eliakim Hastings) Moore,software-engineering,806,Yale University,1885,7,7865
H. A. (Hubert Anson) Newton,software-engineering,7865,Yale University,1850,8,26995
Edward John Routh,software-engineering,101929,University of Cambridge,1857,8,42016;129420;
George Gabriel Stokes,software-engineering,102483,University of Cambridge,1841,8,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,8,102043
Isaac  Todhunter,software-engineering,129420,University of Cambridge,1848,8,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,8,102043
John William Strutt (Lord Rayleigh),software-engineering,101979,University of Cambridge,1868,8,101929;102483;
Edward John Routh,software-engineering,101929,University of Cambridge,1857,8,42016;129420;
George Gabriel Stokes,software-engineering,102483,University of Cambridge,1841,8,42016
Julius  Plücker,software-engineering,7402,Philipps-Universität Marburg,1823,8,29642
Rudolf Otto Sigismund Lipschitz,software-engineering,19964,Universität Berlin,1853,8,17946;47064;
Thomas  Postlethwaite,software-engineering,133301,University of Cambridge,1756,8,133367
John  Cranke,software-engineering,103066,University of Cambridge,1774,8,None
Edward  Waring,software-engineering,129421,University of Cambridge,1760,8,None
Henry  Bracken,software-engineering,129422,Universiteit Leiden,den,8,101856
Eilhard  Mitscherlich,software-engineering,123999,Georg-August-Universität Göttingen,1814,8,123979
Heinrich Gustav Magnus,software-engineering,123978,Universität Berlin,1827,8,123999
Franz Ernst Neumann,software-engineering,18600,Universität Berlin,1825,8,66319
Heinrich Gustav Magnus,software-engineering,123978,Universität Berlin,1827,8,123999
August Adolph Eduard Eberhard Kundt,software-engineering,123973,Universität Berlin,1864,8,123978
Woldemar  Voigt,software-engineering,45011,Universität Königsberg,1874,8,18600
Gösta Magnus Mittag-Leffler,software-engineering,19770,Uppsala Universitet,1872,8,24894
Göran  Dillner,software-engineering,24894,Uppsala Universitet,1863,8,167682
H. A. (Hubert Anson) Newton,software-engineering,7865,Yale University,1850,8,26995
Michel  Chasles,software-engineering,26995,École Polytechnique,1814,9,17865
William  Hopkins,software-engineering,42016,University of Cambridge,1830,9,102043
Isaac  Todhunter,software-engineering,129420,University of Cambridge,1848,9,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,9,102043
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,9,102036;102037;
William  Hopkins,software-engineering,42016,University of Cambridge,1830,9,102043
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,9,102036;102037;
Edward John Routh,software-engineering,101929,University of Cambridge,1857,9,42016;129420;
George Gabriel Stokes,software-engineering,102483,University of Cambridge,1841,9,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,9,102043
Isaac  Todhunter,software-engineering,129420,University of Cambridge,1848,9,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,9,102043
