Name,Specialization,ID,school,year,Generation,advisor_id
Henry Ludwell Moore,programming-languages,122450,The Johns Hopkins University,1892,6,122449;122448;
David Mathias Dennison,programming-languages,92249,University of Michigan,1924,6,115036;115037;
John  Trowbridge,programming-languages,67041,Harvard University,1873,7,132487
E. H. (Eliakim Hastings) Moore,programming-languages,806,Yale University,1885,7,7865
Joseph  Lovering,programming-languages,132487,Harvard University,1833,7,80886
Walter William Rouse Ball,programming-languages,27230,University of Cambridge,1874,7,None
Andrew Russell Forsyth,programming-languages,17829,University of Cambridge,1881,7,7824
George Howard Darwin,programming-languages,17467,University of Cambridge,1871,7,101929
Arnold Johannes Wilhelm Sommerfeld,programming-languages,31357,Universität Königsberg,1891,7,7404
Arthur  March,programming-languages,138330,Universität Innsbruck,1913,7,138329
Gustav  Ritter von Escherich,programming-languages,27259,Technische Universität Graz,1873,7,27258;49523;
Hermann  Minkowski,programming-languages,29675,Universität Königsberg,1885,7,7404
C. L. Ferdinand (Carl Louis) Lindemann,programming-languages,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,7,7401
John Edensor Littlewood,programming-languages,10463,University of Cambridge,1910,7,12099
G. H. (Godfrey Harold) Hardy,programming-languages,17806,University of Cambridge,1903,7,31354;18571;
Moritz  Réthy,programming-languages,90711,Ruprecht-Karls-Universität Heidelberg,1874,7,18336
Ernst Eduard Kummer,programming-languages,18331,Martin-Luther-Universität Halle-Wittenberg,1831,7,25484
Karl Theodor Wilhelm Weierstraß,programming-languages,7486,Westfälische Wilhelms-Universität Münster,1841,7,29458
William Archibald Dunning,programming-languages,127845,Columbia University,1885,7,201548
Simon  Newcomb,programming-languages,122449,,1858,7,80886
John Bates Clark,programming-languages,122448,Ruprecht-Karls-Universität Heidelberg,1877,7,194422
Walter Francis Colby,programming-languages,115036,University of Michigan,1909,7,179033
Oskar  Klein,programming-languages,115037,Stockholm University,1921,7,200502
Joseph  Lovering,programming-languages,132487,Harvard University,1833,8,80886
H. A. (Hubert Anson) Newton,programming-languages,7865,Yale University,1850,8,26995
Benjamin  Peirce,programming-languages,80886,Harvard University,1829,8,147797
Arthur  Cayley,programming-languages,7824,Universiteit Leiden and University College Dublin and University of Oxford,1875,8,42016
Edward John Routh,programming-languages,101929,University of Cambridge,1857,8,42016;129420;
C. L. Ferdinand (Carl Louis) Lindemann,programming-languages,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,8,7401
Ottokar  Tumlirz,programming-languages,138329,Charles University,1879,8,113011
Johannes  Frischauf,programming-languages,27258,Universität Wien,1861,8,96350;96357;
Karl  Friesach,programming-languages,49523,Universität Wien,1846,8,None
C. L. Ferdinand (Carl Louis) Lindemann,programming-languages,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,8,7401
C. Felix (Christian) Klein,programming-languages,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,8,7402;19964;
Ernest William Barnes,programming-languages,12099,University of Cambridge,1907,8,27230
Augustus Edward Hough Love,programming-languages,31354,ETH Zürich,ich,8,None
Edmund Taylor Whittaker,programming-languages,18571,University of Cambridge,1895,8,17829;17467;
Leo  Königsberger,programming-languages,18336,Universität Berlin,1860,8,18331;7486;
Heinrich Ferdinand Scherk,programming-languages,25484,Universität Berlin,1823,8,65162;18603;
Christoph  Gudermann,programming-languages,29458,Georg-August-Universität Göttingen,1823,8,57667
John William Burgess,programming-languages,201548,,,8,None
Benjamin  Peirce,programming-languages,80886,Harvard University,1829,8,147797
Karl  Knies,programming-languages,194422,Philipps-Universität Marburg,1846,8,177156
Harrison McAllister Randall,programming-languages,179033,University of Michigan,1902,8,None
Svante  Arrhenius,programming-languages,200502,,,8,None
Benjamin  Peirce,programming-languages,80886,Harvard University,1829,9,147797
Michel  Chasles,programming-languages,26995,École Polytechnique,1814,9,17865
Nathaniel  Bowditch,programming-languages,147797,,,9,None
William  Hopkins,programming-languages,42016,University of Cambridge,1830,9,102043
William  Hopkins,programming-languages,42016,University of Cambridge,1830,9,102043
Isaac  Todhunter,programming-languages,129420,University of Cambridge,1848,9,42016
C. Felix (Christian) Klein,programming-languages,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,9,7402;19964;
Ernst  Mach,programming-languages,113011,Universität Wien,1860,9,113010
Franz Xaver Moth,programming-languages,96350,University of Prague,1822,9,96327;96330;
Józef Maximilian Petzval,programming-languages,96357,Eötvös Loránd University,1832,9,None
C. Felix (Christian) Klein,programming-languages,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,9,7402;19964;
Julius  Plücker,programming-languages,7402,Philipps-Universität Marburg,1823,9,29642
Rudolf Otto Sigismund Lipschitz,programming-languages,19964,Universität Berlin,1853,9,17946;47064;
Walter William Rouse Ball,programming-languages,27230,University of Cambridge,1874,9,None
Andrew Russell Forsyth,programming-languages,17829,University of Cambridge,1881,9,7824
George Howard Darwin,programming-languages,17467,University of Cambridge,1871,9,101929
Ernst Eduard Kummer,programming-languages,18331,Martin-Luther-Universität Halle-Wittenberg,1831,9,25484
