Name,Specialization,ID,school,year,Generation,advisor_id
George Howard Darwin,systems-and-networking,17467,University of Cambridge,1871,8,101929
Carl Gottfried Neumann,systems-and-networking,32858,Universität Königsberg,1856,8,46967;57706;
Wilhelm  Scheibner,systems-and-networking,18589,Martin-Luther-Universität Halle-Wittenberg,1848,8,15635
Percy Williams Bridgman,systems-and-networking,79749,Harvard University,1908,8,35094
Albert Abraham Michelson,systems-and-networking,72170,,D.,8,49057
Ogden  Rood,systems-and-networking,148580,,,8,None
H. A. (Hubert Anson) Newton,systems-and-networking,7865,Yale University,1850,8,26995
C. L. Ferdinand (Carl Louis) Lindemann,systems-and-networking,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,8,7401
Arthur  Cayley,systems-and-networking,7824,Universiteit Leiden and University College Dublin and University of Oxford,1875,9,42016
Edward John Routh,systems-and-networking,101929,University of Cambridge,1857,9,42016;129420;
Otto  Hesse,systems-and-networking,46967,Universität Königsberg,1840,9,15635
Friedrich Julius Richelot,systems-and-networking,57706,Universität Königsberg,1831,9,15635
Carl Gustav Jacob Jacobi,systems-and-networking,15635,Humboldt-Universität zu Berlin,1825,9,41423
Wallace Clement Sabine,systems-and-networking,35094,Harvard University,1888,9,67041
Hermann Ludwig Ferdinand von Helmholtz,systems-and-networking,49057,Universität Berlin,1842,9,23194
Michel  Chasles,systems-and-networking,26995,École Polytechnique,1814,9,17865
C. Felix (Christian) Klein,systems-and-networking,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,9,7402;19964;
William  Hopkins,systems-and-networking,42016,University of Cambridge,1830,10,102043
William  Hopkins,systems-and-networking,42016,University of Cambridge,1830,10,102043
Isaac  Todhunter,systems-and-networking,129420,University of Cambridge,1848,10,42016
Carl Gustav Jacob Jacobi,systems-and-networking,15635,Humboldt-Universität zu Berlin,1825,10,41423
Carl Gustav Jacob Jacobi,systems-and-networking,15635,Humboldt-Universität zu Berlin,1825,10,41423
Enno Heeren Dirksen,systems-and-networking,41423,Georg-August-Universität Göttingen,1820,10,57659;57667;
John  Trowbridge,systems-and-networking,67041,Harvard University,1873,10,132487
Johannes Peter Müller,systems-and-networking,23194,Rheinische Friedrich-Wilhelms-Universität Bonn,1822,10,104394;101865;233065;
Siméon Denis Poisson,systems-and-networking,17865,École Polytechnique,1800,10,108295;17864;
Julius  Plücker,systems-and-networking,7402,Philipps-Universität Marburg,1823,10,29642
Rudolf Otto Sigismund Lipschitz,systems-and-networking,19964,Universität Berlin,1853,10,17946;47064;
