Name,Specialization,ID,school,year,Generation,advisor_id
Isaac  Todhunter,scientific-computation,129420,University of Cambridge,1848,8,42016
William  Hopkins,scientific-computation,42016,University of Cambridge,1830,8,102043
Nikolai Dmitrievich Brashman,scientific-computation,12541,Kazan State University and Lomonosov Moscow State University,1834,9,12540;259973;146776;
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,9,102036;102037;
William  Hopkins,scientific-computation,42016,University of Cambridge,1830,9,102043
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,9,102036;102037;
Jean Le Rond d'Alembert,scientific-computation,108266,Collège Mazarin,1735,9,None
Giovanni Battista (Giambattista) Beccaria,scientific-computation,146036,,,9,None
Leonhard  Euler,scientific-computation,38586,Universität Basel,1726,9,53410
Christian M. von Wolff,scientific-computation,47793,Universität Leipzig,1703,9,113719;60985;157308;
Johann  Bernoulli,scientific-computation,53410,Universität Basel,1694,9,54440;129628;
Abraham Gotthelf Kästner,scientific-computation,66476,Universität Leipzig,1739,9,57670
Johann Elert Bode,scientific-computation,127710,Handelsakademie Hamburg,urg,9,127668
Christian August Hausen,scientific-computation,57670,Martin-Luther-Universität Halle-Wittenberg,1713,9,72669;128986;
Abraham Gotthelf Kästner,scientific-computation,66476,Universität Leipzig,1739,9,57670
Carl Friedrich Gauß,scientific-computation,18231,Universität Helmstedt,1799,9,18230
Siméon Denis Poisson,scientific-computation,17865,École Polytechnique,1800,9,108295;17864;
Jean-Baptiste Joseph Fourier,scientific-computation,17981,École Normale Supérieure,ure,9,17864
Karl Christian von Langsdorf,scientific-computation,47025,Georg-August-Universität Göttingen and Justus-Liebig-Universität Gießen and Universität Erfurt,1781,9,66476
Julius  Plücker,scientific-computation,7402,Philipps-Universität Marburg,1823,9,29642
Rudolf Otto Sigismund Lipschitz,scientific-computation,19964,Universität Berlin,1853,9,17946;47064;
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,9,102036;102037;
William  Hopkins,scientific-computation,42016,University of Cambridge,1830,9,102043
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,9,102036;102037;
Joseph Johann von Littrow,scientific-computation,12540,Universität Wien,1838,10,None
Mikhail Vasilyevich  Ostrogradsky,scientific-computation,259973,Université de Paris,1823,10,55177;17865;
Nikolai Ivanovich Lobachevsky,scientific-computation,146776,Kazan State University,ity,10,122737;151180;
Thomas  Jones,scientific-computation,102036,University of Cambridge,1782,10,133301;103066;
